Record_ID,Country,City,Date,PM2_5,PM10,NO2,SO2,CO,O3,Temperature_C,Humidity,Wind_Speed_kmh,AQI
AQ_015662,Brazil,Campinas,2025-03-23,46.1,73.2,21.2,4.0,3.3,12.3,11.0,89.5,1.9,38.0
AQ_011452,China,Nanjing,2025-01-08,35.3,45.5,20.6,10.6,1.6,10.0,17.7,78.5,7.2,28.0
AQ_012705,Mexico,Acapulco,2025-01-29,13.5,28.5,26.7,2.2,3.2,14.9,-0.3,72.1,3.2,17.0
AQ_001762,France,Le Havre,2025-02-08,11.8,26.2,22.0,7.6,1.6,16.1,31.9,72.0,3.7,15.0
AQ_003552,Germany,Duisburg,2025-01-03,6.3,12.5,10.4,4.6,1.9,10.0,26.6,67.3,3.4,8.0
AQ_015438,Iran,Mashhad,2025-02-08,13.6,31.3,15.1,2.0,1.2,11.0,23.5,76.5,9.5,15.0
AQ_001764,Japan,Nagoya,2025-02-13,14.7,26.4,12.9,8.8,3.3,13.0,0.2,37.3,3.9,15.0
AQ_017195,Iran,Shiraz,2025-03-07,10.3,18.4,32.2,11.8,2.8,10.5,19.1,45.2,7.0,15.0
AQ_004431,Iran,Tabriz,2025-02-20,6.7,13.4,12.1,6.5,1.6,10.0,24.1,61.7,6.9,9.0
AQ_013104,Italy,Verona,2025-01-23,26.2,55.4,6.3,11.9,4.5,10.0,-1.7,42.8,2.9,25.0
AQ_013634,Spain,La Coruna,2025-01-19,9.5,20.3,34.1,7.3,1.1,10.0,14.3,29.7,8.1,14.0
AQ_006261,India,Mumbai,2025-03-25,31.1,42.8,42.2,4.3,4.3,10.0,5.8,49.9,8.6,29.0
AQ_010410,India,Bangalore,2025-01-14,68.6,91.9,9.1,2.2,1.2,15.6,27.0,76.4,9.8,49.0
AQ_011277,Brazil,Rio de Janeiro,2025-02-07,50.3,103.8,,2.6,2.1,10.0,9.2,77.0,2.8,43.0
AQ_017274,Iran,Urmia,2025-01-19,40.3,52.3,13.8,5.3,2.3,10.0,10.8,51.4,2.9,30.0
AQ_001952,India,Surat,2025-03-09,36.4,58.8,20.2,12.3,2.5,10.0,,62.8,5.3,31.0
AQ_007097,USA,Seattle,2025-01-01,9.4,22.3,5.0,13.2,1.6,10.0,30.8,59.0,4.2,11.0
AQ_016307,Mexico,Acapulco,2025-03-07,11.0,21.7,11.6,5.0,2.3,10.0,36.6,77.6,5.4,12.0
AQ_009345,Spain,Vigo,2025-01-03,10.7,19.4,19.7,11.7,2.9,29.9,12.2,53.9,3.8,15.0
AQ_010190,Germany,Hamburg,2025-03-10,20.8,39.7,13.0,3.8,3.5,18.8,1.8,76.8,3.4,20.0
AQ_013263,Germany,Essen,2025-03-03,25.8,42.9,8.7,5.3,4.8,10.0,13.3,60.4,8.1,22.0
AQ_001860,Canada,Edmonton,2025-01-03,11.8,14.8,8.3,8.9,1.6,10.0,18.8,77.7,2.6,11.0
AQ_000388,Spain,Vigo,2025-03-25,8.9,12.5,9.8,11.4,4.1,10.0,8.5,76.2,11.1,10.0
AQ_016446,China,Shanghai,2025-01-15,68.7,157.4,9.2,3.0,2.7,12.0,19.9,59.5,5.9,62.0
AQ_003528,China,Harbin,2025-02-17,5.0,12.1,5.0,3.5,3.3,10.0,27.4,98.7,6.5,6.0
AQ_002001,Australia,Geelong,2025-03-31,11.8,20.2,11.7,7.0,9.4,13.0,18.4,100.0,5.7,13.0
AQ_014824,Russia,Kazan,2025-02-12,29.9,45.3,25.1,2.1,1.9,29.5,28.0,79.7,6.6,27.0
AQ_005504,Turkey,Mersin,2025-02-26,22.5,49.3,8.5,2.0,3.6,33.4,8.0,41.3,2.7,23.0
AQ_000187,France,Grenoble,2025-03-08,15.7,21.6,11.7,3.5,3.2,10.0,15.7,50.6,6.1,14.0
AQ_015315,Australia,Adelaide,2025-01-19,5.4,10.0,17.1,4.0,2.0,10.0,25.4,40.5,5.0,8.0
AQ_006411,South Africa,Pretoria,2025-02-10,9.3,17.5,5.0,3.6,2.5,10.0,38.6,52.0,3.1,9.0
AQ_007117,Canada,London,2025-01-28,10.2,14.1,15.7,6.2,1.0,10.0,0.5,31.9,3.5,11.0
AQ_011982,Japan,Osaka,2025-03-05,34.3,45.5,14.8,4.6,3.8,11.3,4.0,76.2,8.3,27.0
AQ_016940,UK,Southampton,2025-02-16,12.8,21.2,8.4,8.2,5.4,10.0,28.9,70.8,4.2,13.0
AQ_007803,Germany,Berlin,2025-02-14,24.2,47.4,11.3,16.1,0.7,10.0,18.6,57.6,6.2,23.0
AQ_000859,Spain,Granada,2025-03-31,19.8,39.2,5.0,4.3,2.6,38.4,8.2,65.1,8.1,20.0
AQ_008632,India,Ahmedabad,2025-03-22,18.5,31.1,13.1,3.8,4.0,10.0,21.5,66.0,10.3,17.0
AQ_003689,China,Shenyang,2025-02-28,6.8,16.6,17.0,13.9,4.0,10.0,20.0,78.4,2.4,11.0
AQ_005555,Australia,Gold Coast,2025-02-27,21.5,39.0,22.0,8.6,1.8,10.0,19.2,92.7,4.3,21.0
AQ_017106,Turkey,Kahramanmaras,2025-03-23,41.8,69.8,18.8,7.2,1.2,15.6,16.9,82.2,2.4,35.0
AQ_013825,Spain,Hospitalet,2025-01-17,29.1,48.8,12.1,6.1,1.3,13.5,6.8,28.0,7.8,25.0
AQ_016961,South Africa,Pietersburg,2025-03-19,14.1,31.4,10.8,4.1,2.9,10.0,2.4,68.2,5.0,15.0
AQ_016572,Brazil,Belem,2025-03-08,69.9,116.5,18.0,2.6,2.8,10.0,11.5,78.0,0.9,55.0
AQ_009403,Brazil,Guarulhos,2025-01-15,7.6,18.3,31.3,4.7,1.6,10.0,4.4,62.5,8.0,13.0
AQ_002637,Germany,Hannover,2025-03-18,7.7,15.8,27.1,5.7,3.1,10.0,24.8,70.4,8.7,12.0
AQ_015796,South Africa,Soweto,2025-03-27,6.1,10.0,9.7,3.7,4.7,23.1,17.3,68.6,5.3,8.0
AQ_001643,Iran,Shiraz,2025-03-09,18.8,24.2,5.0,14.6,2.7,10.0,31.4,75.7,5.2,15.0
AQ_010624,Australia,Wollongong,2025-03-27,19.5,31.3,5.6,12.9,2.1,10.0,4.8,69.7,11.9,17.0
AQ_014731,Japan,Niigata,2025-02-19,33.1,41.9,10.9,4.1,1.0,10.0,4.7,61.0,4.1,24.0
AQ_002793,Spain,Gijon,2025-01-18,34.3,48.3,9.4,3.4,3.2,10.0,18.2,63.3,5.1,26.0
AQ_003793,Iran,Rasht,2025-02-24,8.2,12.9,37.3,6.0,2.3,14.2,32.0,79.3,1.3,13.0
AQ_007164,Italy,Florence,2025-01-27,,40.2,19.0,2.4,1.9,10.0,8.9,77.9,10.8,21.0
AQ_007046,Russia,Perm,2025-02-05,29.8,70.1,31.2,5.0,1.1,10.0,7.2,74.6,8.8,32.0
AQ_007134,Australia,Geelong,2025-01-21,19.2,24.8,6.4,3.5,2.3,10.0,29.4,58.9,4.1,15.0
AQ_008472,USA,Houston,2025-03-18,9.8,22.5,12.3,6.7,3.1,10.0,5.2,69.2,7.9,12.0
AQ_009387,India,Bangalore,2025-01-26,43.3,73.0,9.1,4.7,2.0,10.0,23.3,56.2,16.6,35.0
AQ_000481,Italy,Bari,2025-01-04,22.1,26.9,6.7,16.3,1.5,13.1,27.5,57.2,9.6,18.0
AQ_001917,USA,Phoenix,2025-02-08,13.8,22.0,12.6,7.9,0.9,16.2,5.3,99.5,11.1,14.0
AQ_015575,Turkey,Malatya,2025-01-24,14.5,24.4,10.1,3.6,1.8,10.0,23.1,49.3,3.3,13.0
AQ_012978,Germany,Dortmund,2025-03-18,12.4,21.3,10.8,6.0,2.1,10.0,16.7,55.1,6.5,12.0
AQ_016094,Russia,Samara,2025-01-25,38.2,64.9,8.0,2.9,2.0,13.9,17.0,36.5,3.4,31.0
AQ_004982,UK,Cardiff,2025-01-30,5.0,10.0,38.2,2.0,1.1,31.1,25.5,35.1,5.1,12.0
AQ_000619,India,Surat,2025-01-17,17.2,23.8,13.3,12.2,1.8,10.1,31.0,49.9,3.6,16.0
AQ_017812,Brazil,Porto Alegre,2025-03-29,7.8,12.0,12.0,6.0,2.6,10.0,7.8,64.1,3.9,9.0
AQ_015864,China,Qingdao,2025-03-05,39.6,71.6,5.0,3.0,4.3,10.0,0.2,92.6,4.1,32.0
AQ_006094,France,Marseille,2025-02-03,8.6,15.4,12.8,5.3,1.8,10.0,28.1,84.8,10.0,10.0
AQ_009642,Germany,Wuppertal,2025-01-29,63.1,91.2,5.0,13.0,1.7,10.0,-5.7,47.7,4.5,46.0
AQ_008276,Iran,Kerman,2025-02-10,23.0,29.3,7.5,3.8,2.2,15.3,3.2,69.4,1.8,18.0
AQ_000574,Canada,Quebec City,2025-02-20,28.2,47.2,15.8,3.0,2.0,20.0,24.3,57.4,8.6,25.0
AQ_008147,Mexico,Monterrey,2025-03-28,14.9,28.9,8.3,9.8,,14.5,36.7,64.4,1.5,15.0
AQ_015087,Canada,Barrie,2025-03-31,7.1,14.1,12.0,10.4,2.2,10.0,34.0,86.8,6.4,9.0
AQ_000716,Mexico,Guadalajara,2025-01-01,8.0,19.5,23.0,9.6,2.3,33.4,13.0,79.0,2.0,14.0
AQ_013610,Spain,Malaga,2025-01-19,28.0,61.4,17.4,4.5,4.0,10.0,16.8,83.0,5.5,28.0
AQ_009995,Iran,Isfahan,2025-03-15,21.2,36.3,9.7,5.4,2.2,10.7,-10.0,57.3,5.1,19.0
AQ_011573,Japan,Chiba,2025-01-01,37.8,50.7,34.3,10.0,1.2,10.0,30.3,54.4,2.0,32.0
AQ_002937,China,Shenzhen,2025-02-27,12.6,17.0,11.5,5.2,2.3,10.0,-0.1,70.0,7.5,12.0
AQ_012558,India,Nagpur,2025-01-26,29.8,45.1,6.2,6.7,4.6,10.0,1.0,20.0,2.7,24.0
AQ_002162,Turkey,Malatya,2025-02-18,,72.0,9.6,6.7,1.6,10.0,6.9,67.7,4.7,29.0
AQ_013593,Brazil,Porto Alegre,2025-01-30,15.6,34.3,5.0,13.6,2.2,11.6,26.4,45.1,2.6,16.0
AQ_000808,South Africa,George,2025-02-28,5.0,10.0,5.0,3.3,6.6,19.8,31.9,62.2,2.6,7.0
AQ_003089,Brazil,Rio de Janeiro,2025-02-01,8.8,11.8,13.9,5.4,3.2,13.2,15.3,64.1,20.6,10.0
AQ_007486,Canada,Quebec City,2025-01-07,13.9,26.4,11.1,10.1,1.4,11.8,29.3,59.6,3.8,14.0
AQ_006643,South Korea,Goyang,2025-02-16,96.8,163.3,7.9,8.0,2.0,11.9,19.8,51.4,5.7,74.0
AQ_003663,South Africa,Rustenburg,2025-01-18,10.6,25.6,23.9,2.7,3.7,10.0,31.8,82.3,5.0,14.0
AQ_007622,Canada,Edmonton,2025-02-24,21.6,52.6,7.4,6.3,2.1,10.2,7.9,52.0,3.7,22.0
AQ_016627,Mexico,Mérida,2025-03-06,5.0,10.0,8.7,19.7,3.6,23.9,5.8,53.7,6.4,9.0
AQ_005300,France,Lyon,2025-01-21,8.5,10.8,15.2,4.4,0.9,10.7,13.1,61.8,2.5,9.0
AQ_007204,Canada,Ottawa,2025-03-20,14.2,19.8,8.2,12.8,2.9,10.0,8.3,51.8,5.1,13.0
AQ_000773,Turkey,Gaziantep,2025-02-10,22.1,36.9,12.3,2.3,0.9,10.0,26.5,63.3,6.0,19.0
AQ_003610,USA,Philadelphia,2025-01-24,15.4,23.9,28.1,3.1,1.3,10.0,,69.6,4.1,16.0
AQ_012857,South Africa,East London,2025-03-17,20.0,30.2,5.0,4.9,2.6,10.0,17.5,71.0,2.9,16.0
AQ_007945,Iran,Sanandaj,2025-02-09,80.4,109.5,11.9,4.7,1.4,10.0,36.8,76.0,4.0,57.0
AQ_010287,Italy,Genoa,2025-03-22,12.9,17.6,8.1,2.3,8.0,19.8,5.2,57.0,4.3,12.0
AQ_001560,Brazil,Porto Alegre,2025-02-01,5.8,10.0,31.4,6.4,2.0,19.7,12.1,34.7,,11.0
AQ_000161,Italy,Modena,2025-01-08,66.3,96.1,16.8,4.1,1.5,10.0,-0.1,65.6,5.4,49.0
AQ_016609,Russia,Moscow,2025-03-15,9.8,18.9,36.7,10.2,1.7,10.0,18.0,70.1,3.4,15.0
AQ_007087,Canada,Hamilton,2025-02-05,16.8,35.4,11.7,5.5,1.3,11.0,40.0,48.6,4.3,17.0
AQ_015250,Italy,Venice,2025-02-25,24.0,36.4,13.2,3.2,0.6,10.4,12.2,60.2,6.9,20.0
AQ_016545,UK,Edinburgh,2025-03-02,5.0,10.0,6.5,5.2,2.1,10.0,17.0,63.7,4.2,6.0
AQ_000397,Russia,Chelyabinsk,2025-03-14,115.8,190.7,8.1,3.0,1.3,10.0,15.6,75.7,2.7,87.0
AQ_015419,South Africa,Polokwane,2025-02-13,88.6,154.5,10.0,2.0,2.0,10.0,14.3,61.8,2.6,69.0
AQ_008634,Iran,Hamadan,2025-01-21,5.0,10.0,8.2,17.9,2.2,10.0,27.5,57.7,2.2,8.0
AQ_017931,Germany,Cologne,2025-01-20,8.4,17.0,20.9,3.4,1.9,10.0,25.4,55.1,5.7,11.0
AQ_006645,Iran,Qazvin,2025-03-24,52.4,87.7,7.0,9.7,1.8,10.0,5.5,76.1,3.3,41.0
AQ_013788,Germany,Bochum,2025-03-07,38.6,57.4,25.3,8.1,3.2,10.0,10.7,60.7,4.3,32.0
AQ_014933,Russia,Samara,2025-02-28,20.0,49.8,11.5,5.2,3.1,10.0,20.6,84.5,3.8,21.0
AQ_007777,France,Bordeaux,2025-02-20,18.3,27.5,9.1,6.6,3.1,32.0,18.6,42.6,3.4,17.0
AQ_014622,Japan,Kitakyushu,2025-03-05,8.7,16.1,26.0,2.1,2.8,10.9,15.6,78.9,2.8,12.0
AQ_003768,South Korea,Ulsan,2025-03-19,15.9,33.9,5.0,7.2,1.3,10.0,31.5,27.3,14.0,15.0
AQ_015548,Spain,Valladolid,2025-03-23,14.8,22.8,8.7,6.6,2.1,13.6,0.2,48.7,2.6,
AQ_009990,Australia,Toowoomba,2025-01-10,31.6,52.6,62.0,5.2,2.4,10.0,14.6,62.4,10.4,34.0
AQ_013990,Turkey,Gaziantep,2025-01-02,40.7,76.0,11.3,6.7,2.8,10.0,7.6,31.2,4.7,35.0
AQ_001339,Italy,Catania,2025-03-21,5.0,10.0,39.2,4.9,4.4,15.3,10.8,84.3,5.3,12.0
AQ_006414,Australia,Cairns,2025-01-15,16.3,34.1,8.5,18.7,1.4,10.2,7.8,77.0,9.2,17.0
AQ_014344,Australia,Darwin,2025-01-30,25.4,50.7,27.9,2.6,2.6,13.1,23.8,61.7,2.9,26.0
AQ_005531,Turkey,Adana,2025-03-05,21.5,31.5,16.5,13.7,3.2,14.8,9.1,78.1,5.4,20.0
AQ_007891,Japan,Sagamihara,2025-02-25,8.9,15.5,26.5,2.8,2.3,24.2,3.1,41.4,3.0,13.0
AQ_007795,Iran,Kermanshah,2025-03-29,10.1,17.3,5.6,4.5,1.0,10.0,17.8,55.7,12.5,10.0
AQ_004518,Germany,Dortmund,2025-02-24,18.8,42.2,5.0,8.5,6.3,10.0,22.9,85.5,2.8,19.0
AQ_016039,Italy,Catania,2025-03-27,15.3,23.4,27.5,4.4,1.3,18.4,18.7,71.4,4.6,17.0
AQ_010646,UK,Liverpool,2025-03-14,19.5,29.5,8.0,5.3,1.5,10.0,26.8,97.5,5.6,16.0
AQ_008464,Australia,Albury,2025-03-27,32.2,46.6,41.7,8.4,2.3,10.0,5.4,56.4,4.0,30.0
AQ_006034,Canada,Hamilton,2025-01-28,45.4,80.5,5.0,14.7,3.2,10.0,13.6,64.7,2.7,37.0
AQ_002753,USA,Los Angeles,2025-02-20,18.7,44.2,5.0,5.2,1.3,23.7,18.8,55.3,6.4,19.0
AQ_009405,UK,Bristol,2025-03-24,27.8,41.9,29.2,7.5,1.9,10.0,14.9,89.1,6.1,25.0
AQ_016127,China,Jinan,2025-03-23,67.9,154.1,7.0,7.2,1.3,10.0,19.0,99.0,3.9,61.0
AQ_004049,Australia,Gold Coast,2025-02-04,15.8,31.0,16.2,37.5,3.9,13.6,17.2,50.6,7.3,20.0
AQ_012324,Italy,Modena,2025-02-19,16.2,39.4,9.7,11.7,2.4,10.0,10.2,70.5,4.3,18.0
AQ_015518,Mexico,Aguascalientes,2025-02-24,150.4,200.7,7.0,3.7,3.6,10.0,17.2,89.7,6.0,
AQ_002557,UK,Brighton,2025-03-12,32.4,68.5,5.0,3.3,2.3,10.3,22.7,69.9,4.6,29.0
AQ_008330,South Africa,Durban,2025-02-28,16.7,26.9,120.8,8.1,4.3,10.0,29.5,59.0,8.0,32.0
AQ_012351,Spain,Madrid,2025-02-17,5.3,11.0,10.0,11.7,5.2,10.0,1.6,63.6,3.9,8.0
AQ_017648,Spain,Vigo,2025-03-29,19.0,32.6,16.4,11.6,2.3,12.3,-0.8,81.4,7.8,19.0
AQ_016346,Iran,Kerman,2025-03-24,11.4,19.8,18.3,5.7,2.0,11.2,17.1,66.9,2.8,13.0
AQ_017852,Mexico,Chihuahua,2025-03-12,32.5,48.8,5.0,15.6,1.1,35.9,7.0,58.9,10.8,28.0
AQ_014309,Canada,Edmonton,2025-01-05,13.4,24.1,9.0,3.3,1.2,10.0,3.0,50.1,1.7,13.0
AQ_009802,France,Dijon,2025-01-25,27.4,57.5,9.5,9.4,2.9,13.0,9.3,92.9,6.3,26.0
AQ_003041,Brazil,Campinas,2025-03-31,58.6,103.1,7.8,4.0,1.5,10.2,13.8,63.3,1.9,46.0
AQ_011425,China,Xi'an,2025-02-08,14.7,34.2,5.0,7.7,2.1,10.0,24.7,75.8,20.5,15.0
AQ_000385,Turkey,Denzli,2025-02-27,75.4,117.0,18.3,9.3,2.8,10.2,3.4,76.7,6.6,58.0
AQ_016043,China,Jinan,2025-03-11,46.7,99.1,10.1,5.3,1.7,10.0,20.4,73.2,7.0,41.0
AQ_015630,UK,Birmingham,2025-01-14,12.7,17.2,13.6,7.0,3.6,20.3,21.2,54.9,4.5,13.0
AQ_003748,Japan,Kitakyushu,2025-01-21,80.7,187.2,25.2,15.8,2.7,19.9,0.4,32.1,4.4,77.0
AQ_003310,Australia,Newcastle,2025-03-16,5.0,10.0,7.9,7.8,1.2,10.0,7.3,29.3,13.0,7.0
AQ_012150,Spain,La Coruna,2025-02-08,15.7,22.1,5.0,6.2,2.1,10.0,31.1,82.4,1.9,13.0
AQ_001309,USA,Denver,2025-01-26,56.8,113.8,35.8,2.6,4.9,19.0,26.6,73.6,4.4,53.0
AQ_008890,Brazil,Natal,2025-01-11,38.6,83.1,18.5,6.3,1.6,13.2,19.6,,3.9,37.0
AQ_001456,Turkey,Van,2025-03-28,16.2,32.6,17.9,8.7,1.3,17.9,40.0,95.6,6.4,18.0
AQ_017906,Spain,Valladolid,2025-02-20,21.2,31.6,36.2,2.9,2.9,15.4,28.2,100.0,7.3,22.0
AQ_001363,France,Le Havre,2025-03-29,16.1,26.4,9.6,9.8,4.2,10.8,9.0,10.5,5.9,15.0
AQ_013146,South Africa,Pietermaritzburg,2025-03-07,16.3,32.1,17.9,6.6,4.6,11.9,15.5,62.9,8.8,17.0
AQ_001372,South Korea,Cheongju,2025-01-05,8.2,16.4,14.6,19.6,1.9,11.2,,61.3,8.7,12.0
AQ_006533,Japan,Fukuoka,2025-02-26,6.2,10.9,6.9,12.7,2.7,12.5,0.2,21.4,12.9,
AQ_014043,France,Reims,2025-01-23,52.1,88.4,5.9,7.8,5.1,14.3,17.6,56.9,2.8,42.0
AQ_011894,Japan,Kawasaki,2025-01-16,22.5,53.7,5.0,3.0,2.7,11.9,11.3,30.9,6.0,22.0
AQ_010502,Australia,Wollongong,2025-03-15,15.3,30.9,29.0,7.2,1.6,10.0,9.8,57.9,10.7,18.0
AQ_002437,Iran,Qom,2025-01-20,9.4,22.9,10.2,2.4,2.9,11.5,18.3,62.9,2.5,11.0
AQ_004985,France,Nice,2025-01-22,78.1,104.6,11.3,2.6,2.1,10.0,30.0,91.3,3.9,55.0
AQ_012069,South Africa,Polokwane,2025-02-03,9.1,14.3,30.3,12.7,1.7,10.0,15.9,81.9,1.0,13.0
AQ_012464,China,Jinan,2025-03-10,20.1,49.8,26.8,8.4,1.6,10.0,-10.0,59.6,6.7,24.0
AQ_012188,Australia,Ballarat,2025-01-30,38.5,66.6,6.9,5.5,2.1,25.8,5.5,64.4,5.9,32.0
AQ_010641,Iran,Qom,2025-02-05,5.0,10.0,12.8,8.3,1.2,19.3,10.7,51.9,5.3,8.0
AQ_017070,Mexico,Mexico City,2025-01-19,5.0,10.0,8.6,10.1,2.9,10.0,15.7,100.0,6.6,7.0
